Socola Chocolatier + Barista|SoMa|535 Folsom St|San Francisco|CA|94105|(415) 400-4071|Chocolatiers & Shops
Il Canto Cafe|Financial District|275 Battery St|San Francisco|CA|94111|(415) 986-6565|Coffee & Tea
Red Door Coffee|Financial District, SoMa|111 Minna St|San Francisco|CA|94105|(415) 974-1719|Coffee & Tea
Cafe Me|Financial District|500 Washington St|San Francisco|CA|94111|(415) 288-8628|Coffee & Tea, Breakfast & Brunch
Curbside Coffee|Financial District, SoMa, South Beach|298 Spear St|San Francisco|CA|94105||Coffee & Tea
Cafe Terminus|Financial District|16 California St|San Francisco|CA|94109|(415) 960-8405|Cocktail Bars
Spicely Organic Spices|Financial District|578 Market St|San Francisco|CA|94104|(415) 982-7742|Herbs & Spices
Workshop Cafe|Financial District|180 Montgomery St|San Francisco|CA|94104|(415) 322-1048|Venues & Event Spaces
Paramo Coffee Company|Financial District|4 Embarcadero Ctr|San Francisco|CA|94111|(415) 434-4472|Coffee & Tea
Mazarine Coffee|Financial District, Union Square|720 Market St|San Francisco|CA|94102|(415) 398-7700|Coffee & Tea
Red Door Coffee|Financial District, SoMa|505 Howard St|San Francisco|CA|94105||Coffee & Tea
Jackson Place Cafe|Financial District|633 Battery St|San Francisco|CA|94111|(415) 225-4891|Coffee & Tea
Il Canto Cafe|Financial District|275 Battery St|San Francisco|CA|94111|(415) 986-6565|Coffee & Tea
Red Door Coffee|Financial District, SoMa|111 Minna St|San Francisco|CA|94105|(415) 974-1719|Coffee & Tea
Cafe Me|Financial District|500 Washington St|San Francisco|CA|94111|(415) 288-8628|Coffee & Tea, Breakfast & Brunch
Curbside Coffee|Financial District, SoMa, South Beach|298 Spear St|San Francisco|CA|94105||Coffee & Tea
Cafe Terminus|Financial District|16 California St|San Francisco|CA|94109|(415) 960-8405|Cocktail Bars
Spicely Organic Spices|Financial District|578 Market St|San Francisco|CA|94104|(415) 982-7742|Herbs & Spices
Workshop Cafe|Financial District|180 Montgomery St|San Francisco|CA|94104|(415) 322-1048|Venues & Event Spaces
Paramo Coffee Company|Financial District|4 Embarcadero Ctr|San Francisco|CA|94111|(415) 434-4472|Coffee & Tea
Mazarine Coffee|Financial District, Union Square|720 Market St|San Francisco|CA|94102|(415) 398-7700|Coffee & Tea
Red Door Coffee|Financial District, SoMa|505 Howard St|San Francisco|CA|94105||Coffee & Tea
Jackson Place Cafe|Financial District|633 Battery St|San Francisco|CA|94111|(415) 225-4891|Coffee & Tea
Il Canto Cafe|Financial District|275 Battery St|San Francisco|CA|94111|(415) 986-6565|Coffee & Tea
Red Door Coffee|Financial District, SoMa|111 Minna St|San Francisco|CA|94105|(415) 974-1719|Coffee & Tea
Cafe Me|Financial District|500 Washington St|San Francisco|CA|94111|(415) 288-8628|Coffee & Tea, Breakfast & Brunch
Curbside Coffee|Financial District, SoMa, South Beach|298 Spear St|San Francisco|CA|94105||Coffee & Tea
Cafe Terminus|Financial District|16 California St|San Francisco|CA|94109|(415) 960-8405|Cocktail Bars
Spicely Organic Spices|Financial District|578 Market St|San Francisco|CA|94104|(415) 982-7742|Herbs & Spices
Workshop Cafe|Financial District|180 Montgomery St|San Francisco|CA|94104|(415) 322-1048|Venues & Event Spaces
Paramo Coffee Company|Financial District|4 Embarcadero Ctr|San Francisco|CA|94111|(415) 434-4472|Coffee & Tea
Mazarine Coffee|Financial District, Union Square|720 Market St|San Francisco|CA|94102|(415) 398-7700|Coffee & Tea
Red Door Coffee|Financial District, SoMa|505 Howard St|San Francisco|CA|94105||Coffee & Tea
Jackson Place Cafe|Financial District|633 Battery St|San Francisco|CA|94111|(415) 225-4891|Coffee & Tea
Il Canto Cafe|Financial District|275 Battery St|San Francisco|CA|94111|(415) 986-6565|Coffee & Tea
Red Door Coffee|Financial District, SoMa|111 Minna St|San Francisco|CA|94105|(415) 974-1719|Coffee & Tea
Cafe Me|Financial District|500 Washington St|San Francisco|CA|94111|(415) 288-8628|Coffee & Tea, Breakfast & Brunch
Curbside Coffee|Financial District, SoMa, South Beach|298 Spear St|San Francisco|CA|94105||Coffee & Tea
Cafe Terminus|Financial District|16 California St|San Francisco|CA|94109|(415) 960-8405|Cocktail Bars
Black Point Cafe|Fisherman's Wharf, Russian Hill|882 N Point St|San Francisco|CA|94109|(415) 800-8448|Cafes
Biscoff Coffee Corner|Fisherman's Wharf, North Beach/Telegraph Hill|39 Pier|San Francisco|CA|94133|(415) 393-9554|Coffee & Tea
The Spice & Tea Exchange|Fisherman's Wharf, North Beach/Telegraph Hill|39 Pier|San Francisco|CA|94133|(415) 393-0401|Coffee & Tea
Cup of Love|Fisherman's Wharf, North Beach/Telegraph Hill|Pier 41|San Francisco|CA|94133||Coffee & Tea
Cup & Cake Café|Fisherman's Wharf, North Beach/Telegraph Hill|Pier 39, 2nd Level|San Francisco|CA|94133|(415) 795-4064|Cafes, Coffee & Tea
Quickly|Fisherman's Wharf, North Beach/Telegraph Hill|2800 Leavenworth St, Ste A11|San Francisco|CA|94133|(415) 988-1660|Coffee & Tea, Fast Food
Starbucks|Fisherman's Wharf, Russian Hill|685 Beach St|San Francisco|CA|94109|(415) 561-9594|Coffee & Tea
Starbucks|Fisherman's Wharf, North Beach/Telegraph Hill|2801 Jones St|San Francisco|CA|94133|(415) 776-7907|Coffee & Tea
San Francisco Coffee Roasting Co|Fisherman's Wharf, North Beach/Telegraph Hill|Pier 39|San Francisco|CA|94133|(415) 393-9554|Coffee & Tea
Bulldog Sf Truck|Fisherman's Wharf, Russian Hill|851 Beach St|San Francisco|CA|94109||Food Trucks, Juice Bars & Smoothies
Black Point Cafe|Fisherman's Wharf, Russian Hill|882 N Point St|San Francisco|CA|94109|(415) 800-8448|Cafes
Biscoff Coffee Corner|Fisherman's Wharf, North Beach/Telegraph Hill|39 Pier|San Francisco|CA|94133|(415) 393-9554|Coffee & Tea
The Spice & Tea Exchange|Fisherman's Wharf, North Beach/Telegraph Hill|39 Pier|San Francisco|CA|94133|(415) 393-0401|Coffee & Tea
Cup of Love|Fisherman's Wharf, North Beach/Telegraph Hill|Pier 41|San Francisco|CA|94133||Coffee & Tea
Cup & Cake Café|Fisherman's Wharf, North Beach/Telegraph Hill|Pier 39, 2nd Level|San Francisco|CA|94133|(415) 795-4064|Cafes, Coffee & Tea
Quickly|Fisherman's Wharf, North Beach/Telegraph Hill|2800 Leavenworth St, Ste A11|San Francisco|CA|94133|(415) 988-1660|Coffee & Tea, Fast Food
Starbucks|Fisherman's Wharf, Russian Hill|685 Beach St|San Francisco|CA|94109|(415) 561-9594|Coffee & Tea
Starbucks|Fisherman's Wharf, North Beach/Telegraph Hill|2801 Jones St|San Francisco|CA|94133|(415) 776-7907|Coffee & Tea
San Francisco Coffee Roasting Co|Fisherman's Wharf, North Beach/Telegraph Hill|Pier 39|San Francisco|CA|94133|(415) 393-9554|Coffee & Tea
Bulldog Sf Truck|Fisherman's Wharf, Russian Hill|851 Beach St|San Francisco|CA|94109||Food Trucks, Juice Bars & Smoothies
Spicely Organic Spices|Financial District|578 Market St|San Francisco|CA|94104|(415) 982-7742|Herbs & Spices
Bello Coffee & Tea|Glen Park|2885 Diamond St|San Francisco|CA|94131|(415) 585-3457|Coffee & Tea
Higher Grounds Coffee House|Glen Park|691 Chenery St|San Francisco|CA|94131|(415) 587-2933|Coffee & Tea, Breakfast & Brunch
Destination Baking Company|Glen Park|598 Chenery St|San Francisco|CA|94131|(415) 469-0730|Bakeries
Cafe XO|Glen Park, Noe Valley|1799 Church St|San Francisco|CA|94131|(415) 826-3535|Coffee & Tea
Pebbles Cafe|Glen Park|2852 Diamond St|San Francisco|CA|94131|(415) 333-2270|Coffee & Tea, Sandwiches
Blue Bottle Coffee|Hayes Valley|315 Linden St|San Francisco|CA|94102|(510) 653-3394|Coffee & Tea
Cafe du Soleil|Hayes Valley, Lower Haight|200 Fillmore St|San Francisco|CA|94102|(415) 934-8637|Coffee & Tea
Mercury Cafe|Hayes Valley|201 Octavia Blvd|San Francisco|CA|94102|(415) 252-7855|Coffee & Tea
Arlequin Cafe & Food To Go|Hayes Valley|384 Hayes St|San Francisco|CA|94102|(415) 626-1211|Coffee & Tea, Sandwiches
Ritual Coffee Roasters|Hayes Valley|432b Octavia St|San Francisco|CA|94102|(415) 865-0989|Coffee & Tea
Cafe La Vie|Hayes Valley|514 Octavia St|San Francisco|CA|94102|(415) 621-6877|Coffee & Tea
20th Century Cafe|Hayes Valley|198 Gough St|San Francisco|CA|94102|(415) 621-2380|Coffee & Tea, Cafes
La Boulange de Hayes|Hayes Valley|500 Hayes St|San Francisco|CA|94102|(415) 863-3376|Bakeries, Sandwiches
Muka|Hayes Valley|370 Grove St|San Francisco|CA|94102|(415) 701-9888|Cocktail Bars
Hayes Valley Bakeworks|Hayes Valley|550 Gough St|San Francisco|CA|94102|(415) 864-2688|Bakeries, American (New)
Blue Bottle Coffee|Hayes Valley|315 Linden St|San Francisco|CA|94102|(510) 653-3394|Coffee & Tea
Cafe du Soleil|Hayes Valley, Lower Haight|200 Fillmore St|San Francisco|CA|94102|(415) 934-8637|Coffee & Tea
Mercury Cafe|Hayes Valley|201 Octavia Blvd|San Francisco|CA|94102|(415) 252-7855|Coffee & Tea
Arlequin Cafe & Food To Go|Hayes Valley|384 Hayes St|San Francisco|CA|94102|(415) 626-1211|Coffee & Tea, Sandwiches
Ritual Coffee Roasters|Hayes Valley|432b Octavia St|San Francisco|CA|94102|(415) 865-0989|Coffee & Tea
Cafe La Vie|Hayes Valley|514 Octavia St|San Francisco|CA|94102|(415) 621-6877|Coffee & Tea
20th Century Cafe|Hayes Valley|198 Gough St|San Francisco|CA|94102|(415) 621-2380|Coffee & Tea, Cafes
La Boulange de Hayes|Hayes Valley|500 Hayes St|San Francisco|CA|94102|(415) 863-3376|Bakeries, Sandwiches
Muka|Hayes Valley|370 Grove St|San Francisco|CA|94102|(415) 701-9888|Cocktail Bars
Hayes Valley Bakeworks|Hayes Valley|550 Gough St|San Francisco|CA|94102|(415) 864-2688|Bakeries, American (New)
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Jo Jo’s Cafe|Ingleside|1537 Ocean Ave|San Francisco|CA|94112|(415) 452-9618|Coffee & Tea
Lucky Ocean Cafe|Ingleside|1501 Ocean Ave|San Francisco|CA|94112|(415) 337-8686|Sandwiches
Quickly|Ingleside|1039 Ocean Ave|San Francisco|CA|94112|(415) 334-6959|Coffee & Tea, Juice Bars & Smoothies
Morey Cafe|Ingleside Terraces|1901 Ocean Ave|San Francisco|CA|94127|(415) 337-7426|Coffee & Tea
Bahia Cafe|Ingleside Terraces|1901 Ocean Avenue|San Francisco|CA|94127|(415) 333-9088|Coffee & Tea
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Fifty / Fifty Coffee and Tea|Inner Richmond, Laurel Heights|3157 Geary Blvd|San Francisco|CA|94118|(415) 684-8886|Coffee & Tea
Cafe La Flore|Inner Richmond|1032 Clement St|San Francisco|CA|94118|(415) 386-2814|Coffee & Tea, Bagels
Lou’s Cafe|Inner Richmond|5017 Geary Blvd|San Francisco|CA|94118|(415) 379-4429|Coffee & Tea
Velo Rouge Cafe|Inner Richmond|798 Arguello Blvd|San Francisco|CA|94118|(415) 752-7799|Coffee & Tea, Sandwiches
Sharetea|Inner Richmond|5336 Geary Blvd|San Francisco|CA|94121|(415) 813-8296|Bubble Tea
Cafe Coco|Inner Richmond|4201 Geary Blvd|San Francisco|CA|94118|(415) 750-1898|Cafes
Earth’s Coffee|Inner Richmond, Laurel Heights|3400 Geary Blvd|San Francisco|CA|94118|(415) 933-8628|Coffee & Tea
Ashley’s Cafe|Inner Richmond|4454 California St|San Francisco|CA|94118|(415) 831-6269|Cafes
Toy Boat Dessert Café|Inner Richmond|401 Clement St|San Francisco|CA|94118|(415) 751-7505|Ice Cream & Frozen Yogurt, Cafes
Village Market|Inner Richmond|4555 California St|San Francisco|CA|94118|(415) 221-0445|Coffee & Tea
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Fifty / Fifty Coffee and Tea|Inner Richmond, Laurel Heights|3157 Geary Blvd|San Francisco|CA|94118|(415) 684-8886|Coffee & Tea
Cafe La Flore|Inner Richmond|1032 Clement St|San Francisco|CA|94118|(415) 386-2814|Coffee & Tea, Bagels
Lou’s Cafe|Inner Richmond|5017 Geary Blvd|San Francisco|CA|94118|(415) 379-4429|Coffee & Tea
Velo Rouge Cafe|Inner Richmond|798 Arguello Blvd|San Francisco|CA|94118|(415) 752-7799|Coffee & Tea, Sandwiches
Sharetea|Inner Richmond|5336 Geary Blvd|San Francisco|CA|94121|(415) 813-8296|Bubble Tea
Cafe Coco|Inner Richmond|4201 Geary Blvd|San Francisco|CA|94118|(415) 750-1898|Cafes
Earth’s Coffee|Inner Richmond, Laurel Heights|3400 Geary Blvd|San Francisco|CA|94118|(415) 933-8628|Coffee & Tea
Ashley’s Cafe|Inner Richmond|4454 California St|San Francisco|CA|94118|(415) 831-6269|Cafes
Toy Boat Dessert Café|Inner Richmond|401 Clement St|San Francisco|CA|94118|(415) 751-7505|Ice Cream & Frozen Yogurt, Cafes
Village Market|Inner Richmond|4555 California St|San Francisco|CA|94118|(415) 221-0445|Coffee & Tea
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Fifty / Fifty Coffee and Tea|Inner Richmond, Laurel Heights|3157 Geary Blvd|San Francisco|CA|94118|(415) 684-8886|Coffee & Tea
Cafe La Flore|Inner Richmond|1032 Clement St|San Francisco|CA|94118|(415) 386-2814|Coffee & Tea, Bagels
Lou’s Cafe|Inner Richmond|5017 Geary Blvd|San Francisco|CA|94118|(415) 379-4429|Coffee & Tea
Velo Rouge Cafe|Inner Richmond|798 Arguello Blvd|San Francisco|CA|94118|(415) 752-7799|Coffee & Tea, Sandwiches
Sharetea|Inner Richmond|5336 Geary Blvd|San Francisco|CA|94121|(415) 813-8296|Bubble Tea
Cafe Coco|Inner Richmond|4201 Geary Blvd|San Francisco|CA|94118|(415) 750-1898|Cafes
Earth’s Coffee|Inner Richmond, Laurel Heights|3400 Geary Blvd|San Francisco|CA|94118|(415) 933-8628|Coffee & Tea
Ashley’s Cafe|Inner Richmond|4454 California St|San Francisco|CA|94118|(415) 831-6269|Cafes
Toy Boat Dessert Café|Inner Richmond|401 Clement St|San Francisco|CA|94118|(415) 751-7505|Ice Cream & Frozen Yogurt, Cafes
Village Market|Inner Richmond|4555 California St|San Francisco|CA|94118|(415) 221-0445|Coffee & Tea
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Snowbird Coffee|Inner Sunset|1352 A 9th Ave|San Francisco|CA|94122||Coffee & Tea
Hollow|Inner Sunset|1435 Irving St|San Francisco|CA|94122|(415) 242-4119|Coffee & Tea
Golden Bear Trading Company|Inner Sunset|1401 6th Ave|San Francisco|CA|94122|(415) 664-5574|Coffee & Tea
Cafe La Flore|Inner Sunset|1340 Irving St|San Francisco|CA|94122|(415) 504-6798|Coffee & Tea
Wooly Pig Cafe|Inner Sunset|205 Hugo St|San Francisco|CA|94122|(415) 592-8015|Sandwiches
Beanery|Inner Sunset|1307 9th Ave|San Francisco|CA|94122|(415) 661-1255|Coffee & Tea
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Starbucks|Inner Sunset|350 Parnassus St|San Francisco|CA|94117|(415) 665-6406|Coffee & Tea
The Beanery|Inner Sunset|602 Irving St|San Francisco|CA|94122|(415) 661-1090|Coffee & Tea
Caffe Terzetto Express|Inner Sunset|400 Parnassus St|San Francisco|CA|94122||Coffee & Tea
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Snowbird Coffee|Inner Sunset|1352 A 9th Ave|San Francisco|CA|94122||Coffee & Tea
Hollow|Inner Sunset|1435 Irving St|San Francisco|CA|94122|(415) 242-4119|Coffee & Tea
Golden Bear Trading Company|Inner Sunset|1401 6th Ave|San Francisco|CA|94122|(415) 664-5574|Coffee & Tea
Cafe La Flore|Inner Sunset|1340 Irving St|San Francisco|CA|94122|(415) 504-6798|Coffee & Tea
Wooly Pig Cafe|Inner Sunset|205 Hugo St|San Francisco|CA|94122|(415) 592-8015|Sandwiches
Beanery|Inner Sunset|1307 9th Ave|San Francisco|CA|94122|(415) 661-1255|Coffee & Tea
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Starbucks|Inner Sunset|350 Parnassus St|San Francisco|CA|94117|(415) 665-6406|Coffee & Tea
The Beanery|Inner Sunset|602 Irving St|San Francisco|CA|94122|(415) 661-1090|Coffee & Tea
Caffe Terzetto Express|Inner Sunset|400 Parnassus St|San Francisco|CA|94122||Coffee & Tea
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Snowbird Coffee|Inner Sunset|1352 A 9th Ave|San Francisco|CA|94122||Coffee & Tea
Hollow|Inner Sunset|1435 Irving St|San Francisco|CA|94122|(415) 242-4119|Coffee & Tea
Golden Bear Trading Company|Inner Sunset|1401 6th Ave|San Francisco|CA|94122|(415) 664-5574|Coffee & Tea
Cafe La Flore|Inner Sunset|1340 Irving St|San Francisco|CA|94122|(415) 504-6798|Coffee & Tea
Wooly Pig Cafe|Inner Sunset|205 Hugo St|San Francisco|CA|94122|(415) 592-8015|Sandwiches
Beanery|Inner Sunset|1307 9th Ave|San Francisco|CA|94122|(415) 661-1255|Coffee & Tea
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Starbucks|Inner Sunset|350 Parnassus St|San Francisco|CA|94117|(415) 665-6406|Coffee & Tea
The Beanery|Inner Sunset|602 Irving St|San Francisco|CA|94122|(415) 661-1090|Coffee & Tea
Caffe Terzetto Express|Inner Sunset|400 Parnassus St|San Francisco|CA|94122||Coffee & Tea
YakiniQ Cafe|Japantown, Lower Pacific Heights|1640 Post St|San Francisco|CA|94115|(415) 441-9291|Bakeries
Tan Tan Coffee Shop|Japantown, Lower Pacific Heights|1825 Post St|San Francisco|CA|94115|(415) 346-6260|Coffee & Tea
Cafe V|Japantown, Lower Pacific Heights|1825 Post St|San Francisco|CA|94115||Coffee & Tea
Chocolate Chair|Japantown, Lower Pacific Heights|1737 Post St|San Francisco|CA|94115|(415) 567-9255|Desserts, Coffee & Tea
Murata’s Cafe Hana|Japantown, Lower Pacific Heights|1737 Post St|San Francisco|CA|94115|(415) 567-9133|Coffee & Tea
Mitsu Teahouse|Japantown, Lower Pacific Heights|22 Peace Plz|San Francisco|CA|94115|(415) 985-4545|Bubble Tea
The Café|Japantown, Lower Pacific Heights|1746 Post St|San Francisco|CA|94115||Coffee & Tea
May’s Coffee Shop|Japantown, Lower Pacific Heights|1737 Post St|San Francisco|CA|94115|(415) 346-4020|Coffee & Tea
Cafe Tan Tan|Japantown, Lower Pacific Heights|1581 Webster St|San Francisco|CA|94115||Coffee & Tea
Chocolate Chair|Japantown, Lower Pacific Heights|1520 Webster St|San Francisco|CA|94115|(408) 244-2820|Desserts, Ice Cream & Frozen Yogurt
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Fifty / Fifty Coffee and Tea|Inner Richmond, Laurel Heights|3157 Geary Blvd|San Francisco|CA|94118|(415) 684-8886|Coffee & Tea
Sunstream Coffee|Laurel Heights|2884 Geary Blvd|San Francisco|CA|94118|(415) 567-5330|Brazilian
Starbucks|Laurel Heights|3595 California St|San Francisco|CA|94118|(415) 387-2249|Coffee & Tea
Earth’s Coffee|Inner Richmond, Laurel Heights|3400 Geary Blvd|San Francisco|CA|94118|(415) 933-8628|Coffee & Tea
Peet’s Coffee & Tea|Presidio Heights, Laurel Heights|3419 California Street|San Francisco|CA|94118|(415) 221-8506|Coffee & Tea
Cup & Cake Cafe|Laurel Heights|3500 Geary Blvd|San Francisco|CA|94118|(415) 933-6373|Coffee & Tea
Royal Ground Coffee|Inner Richmond, Laurel Heights|3101 Geary Blvd|San Francisco|CA|94118|(415) 386-2057|Coffee & Tea
Ro Cafe|Inner Richmond, Laurel Heights|2739 Geary St|San Francisco|CA|94118||Coffee & Tea, Middle Eastern
Cafe du Soleil|Hayes Valley, Lower Haight|200 Fillmore St|San Francisco|CA|94102|(415) 934-8637|Coffee & Tea
Cafe International|Lower Haight|508 Haight St|San Francisco|CA|94117|(415) 552-7390|Coffee & Tea, Desserts
Oakside Cafe|Lower Haight|1195 Oak St|San Francisco|CA|94117|(415) 437-1985|Coffee & Tea
Bean There|Lower Haight|201 Steiner St|San Francisco|CA|94117|(415) 255-8855|Coffee & Tea
The Grind|Lower Haight|783 Haight St|San Francisco|CA|94117|(415) 864-0955|Coffee & Tea
Peet’s Coffee & Tea|Lower Haight|310 Broderick St|San Francisco|CA|94107|(415) 593-8830|Coffee & Tea
Repose Coffee Bar and Gallery|Lower Haight|262 Divisadero St|San Francisco|CA|94117|(415) 874-9110|Coffee & Tea
Peet’s Coffee & Tea|Lower Haight|1275 Fell Street|San Francisco|CA|94107|(415) 593-8830|Coffee & Tea
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Fresh Brew Coffee|Nob Hill, Union Square, Lower Nob Hill|882 Bush St|San Francisco|CA|94108|(415) 567-0915|Coffee & Tea, Vietnamese
Jane on Larkin|Lower Nob Hill|925 Larkin St|San Francisco|CA|94109|(415) 593-5359|Coffee & Tea
Another Cafe|Nob Hill, Lower Nob Hill|1191 Pine St|San Francisco|CA|94109|(415) 857-5770|Coffee & Tea
farm:table|Lower Nob Hill|754 Post St|San Francisco|CA|94109||Coffee & Tea, American (New)
Joy’s Place|Lower Nob Hill|611 Post St|San Francisco|CA|94109|(415) 817-1391|Desserts
Angel Cafe & Deli|Lower Nob Hill|700 Geary St|San Francisco|CA|94109|(415) 931-3467|Coffee & Tea
Jasmin’s Cafe|Nob Hill, Union Square, Lower Nob Hill|809 Bush St|San Francisco|CA|94108|(415) 885-1325|Delis, Mexican
Coffee Cabin|Lower Nob Hill|899 Hyde Street|San Francisco|CA|94109|(415) 474-8308|Coffee & Tea
What A Grind|Lower Nob Hill|881 Post St|San Francisco|CA|94109|(415) 921-9800|Coffee & Tea
Peet’s Coffee & Tea|Nob Hill, Lower Nob Hill|1400 Van Ness Ave|San Francisco|CA|94109|(415) 230-7822|Coffee & Tea
Martha & Brothers Coffee|Inner Sunset|401 Irving St|San Francisco|CA|94122|(415) 742-4662|Coffee & Tea, Bagels
Fresh Brew Coffee|Nob Hill, Union Square, Lower Nob Hill|882 Bush St|San Francisco|CA|94108|(415) 567-0915|Coffee & Tea, Vietnamese
Jane on Larkin|Lower Nob Hill|925 Larkin St|San Francisco|CA|94109|(415) 593-5359|Coffee & Tea
Another Cafe|Nob Hill, Lower Nob Hill|1191 Pine St|San Francisco|CA|94109|(415) 857-5770|Coffee & Tea
farm:table|Lower Nob Hill|754 Post St|San Francisco|CA|94109||Coffee & Tea, American (New)
Joy’s Place|Lower Nob Hill|611 Post St|San Francisco|CA|94109|(415) 817-1391|Desserts
Angel Cafe & Deli|Lower Nob Hill|700 Geary St|San Francisco|CA|94109|(415) 931-3467|Coffee & Tea
Jasmin’s Cafe|Nob Hill, Union Square, Lower Nob Hill|809 Bush St|San Francisco|CA|94108|(415) 885-1325|Delis, Mexican
Coffee Cabin|Lower Nob Hill|899 Hyde Street|San Francisco|CA|94109|(415) 474-8308|Coffee & Tea
What A Grind|Lower Nob Hill|881 Post St|San Francisco|CA|94109|(415) 921-9800|Coffee & Tea
Peet’s Coffee & Tea|Nob Hill, Lower Nob Hill|1400 Van Ness Ave|San Francisco|CA|94109|(415) 230-7822|Coffee & Tea
b. Patisserie|Pacific Heights, Lower Pacific Heights|2821 California St|San Francisco|CA|94115|(415) 440-1700|Bakeries
Cafe Murano|Lower Pacific Heights|1777 Steiner St|San Francisco|CA|94115|(415) 771-0888|Coffee & Tea
YakiniQ Cafe|Japantown, Lower Pacific Heights|1640 Post St|San Francisco|CA|94115|(415) 441-9291|Bakeries
Fraîche|Lower Pacific Heights|1910 Fillmore St|San Francisco|CA|94115|(415) 674-6876|Ice Cream & Frozen Yogurt
La Boulange de Fillmore|Lower Pacific Heights|2043 Fillmore St|San Francisco|CA|94115|(415) 928-1300|Bakeries, Cafes
Macha Cafe|Lower Pacific Heights|1355 Sutter St|San Francisco|CA|94109|(415) 563-8079|Coffee & Tea, Sandwiches
Tan Tan Coffee Shop|Japantown, Lower Pacific Heights|1825 Post St|San Francisco|CA|94115|(415) 346-6260|Coffee & Tea
Cafe V|Japantown, Lower Pacific Heights|1825 Post St|San Francisco|CA|94115||Coffee & Tea
Pete’s Deli & Cafe|Lower Pacific Heights|1661 Divisadero St|San Francisco|CA|94115|(415) 931-4800|Delis
Starbucks|Lower Pacific Heights|1750 Divisadero St|San Francisco|CA|94115|(415) 346-7193|Coffee & Tea
b. Patisserie|Pacific Heights, Lower Pacific Heights|2821 California St|San Francisco|CA|94115|(415) 440-1700|Bakeries
Cafe Murano|Lower Pacific Heights|1777 Steiner St|San Francisco|CA|94115|(415) 771-0888|Coffee & Tea
YakiniQ Cafe|Japantown, Lower Pacific Heights|1640 Post St|San Francisco|CA|94115|(415) 441-9291|Bakeries
Fraîche|Lower Pacific Heights|1910 Fillmore St|San Francisco|CA|94115|(415) 674-6876|Ice Cream & Frozen Yogurt
La Boulange de Fillmore|Lower Pacific Heights|2043 Fillmore St|San Francisco|CA|94115|(415) 928-1300|Bakeries, Cafes
Macha Cafe|Lower Pacific Heights|1355 Sutter St|San Francisco|CA|94109|(415) 563-8079|Coffee & Tea, Sandwiches
Tan Tan Coffee Shop|Japantown, Lower Pacific Heights|1825 Post St|San Francisco|CA|94115|(415) 346-6260|Coffee & Tea
Cafe V|Japantown, Lower Pacific Heights|1825 Post St|San Francisco|CA|94115||Coffee & Tea
Pete’s Deli & Cafe|Lower Pacific Heights|1661 Divisadero St|San Francisco|CA|94115|(415) 931-4800|Delis
Starbucks|Lower Pacific Heights|1750 Divisadero St|San Francisco|CA|94115|(415) 346-7193|Coffee & Tea
b. Patisserie|Pacific Heights, Lower Pacific Heights|2821 California St|San Francisco|CA|94115|(415) 440-1700|Bakeries
Cafe Murano|Lower Pacific Heights|1777 Steiner St|San Francisco|CA|94115|(415) 771-0888|Coffee & Tea
YakiniQ Cafe|Japantown, Lower Pacific Heights|1640 Post St|San Francisco|CA|94115|(415) 441-9291|Bakeries
Fraîche|Lower Pacific Heights|1910 Fillmore St|San Francisco|CA|94115|(415) 674-6876|Ice Cream & Frozen Yogurt
La Boulange de Fillmore|Lower Pacific Heights|2043 Fillmore St|San Francisco|CA|94115|(415) 928-1300|Bakeries, Cafes
Macha Cafe|Lower Pacific Heights|1355 Sutter St|San Francisco|CA|94109|(415) 563-8079|Coffee & Tea, Sandwiches
Tan Tan Coffee Shop|Japantown, Lower Pacific Heights|1825 Post St|San Francisco|CA|94115|(415) 346-6260|Coffee & Tea
Cafe V|Japantown, Lower Pacific Heights|1825 Post St|San Francisco|CA|94115||Coffee & Tea
Pete’s Deli & Cafe|Lower Pacific Heights|1661 Divisadero St|San Francisco|CA|94115|(415) 931-4800|Delis
